PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
16,Lewis & Clark,D,L&C,1,,2.0,4.0,3.0,2.0,35.0,Take A Shot,Pass,Incomplete,0.0,,,Cruz Montana,,,Incomplete,Elijah McGee,,,,Aaron Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:32,1352,7,0,-7,3,3,3,,,,,,,
17,Lewis & Clark,D,L&C,1,,2.0,5.0,4.0,2.0,35.0,Take A Shot,Pass,Complete,12.0,,,Cruz Montana,,,Complete,Dyontae Navarre,,,,Andres Ruvalcab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:32,1352,7,0,-7,3,3,3,,,,,,,
18,Lewis & Clark,D,L&C,1,,2.0,6.0,1.0,10.0,23.0,Take A Shot,Run,Rush,12.0,Elijah Washingt,,,,,,,,,,Andres Ruvalcab,Lucas Cheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:32,1352,7,0,-7,3,3,3,,,,,,,
19,Lewis & Clark,D,L&C,1,,2.0,7.0,1.0,10.0,11.0,Red Zone,Run,Rush,11.0,Devon Guest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,07:32,1352,7,0,-7,3,3,3,,,,,,,
20,Lewis & Clark,K,L&C,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Lindell Betts,,,,,,,Andres Ruvalcab,8,43.0,Alex Koga,32.0,35.0,Return,,,,,,,,,,,,,,,,,,,05:43,1243,13,0,-13,3,3,3,,,,,,,
21,Lewis & Clark,O,WHT,1,,2.0,1.0,0.0,10.0,-43.0,Gold Zone,Pass,Complete,5.0,,,Mark Rodriguez,,,Complete,Tyler Cochrane,,,,Bill Vaouli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,1215,0,13,-13,3,3,3,,,,,,,
22,Lewis & Clark,O,WHT,1,,2.0,2.0,2.0,5.0,-48.0,Go Zone,Run,Rush,6.0,Jason Terry,,,,,,,,,,Isaac Cordova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,1215,0,13,-13,3,3,3,,,,,,,
23,Lewis & Clark,O,WHT,1,,2.0,3.0,1.0,10.0,46.0,Go Zone,Pass,Complete,14.0,,,Mark Rodriguez,,,Complete,Tyler Cochrane,,,,DJ Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,1215,0,13,-13,3,3,3,,,,,,,
24,Lewis & Clark,O,WHT,1,,2.0,4.0,1.0,10.0,32.0,Take A Shot,Pass,Incomplete,0.0,,,Mark Rodriguez,,,Incomplete,Tyson Tapley,,,,Luke Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,1215,0,13,-13,3,3,3,,,,,,,
25,Lewis & Clark,,WHT,1,,,,2.0,10.0,32.0,Take A Shot,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,1215,0,13,-13,3,3,3,holding,WHT,William Eoff,,,,15.0
26,Lewis & Clark,,WHT,1,,,,2.0,25.0,47.0,Go Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,1215,0,13,-13,3,3,3,false start,WHT,William Eoff,,,,5.0
27,Lewis & Clark,O,WHT,1,,2.0,5.0,2.0,30.0,-48.0,Go Zone,Pass,Complete,5.0,,,Mark Rodriguez,,,Complete,Jalen Jolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,1215,0,13,-13,3,3,3,,,,,,,
28,Lewis & Clark,O,WHT,1,,2.0,6.0,3.0,25.0,47.0,Go Zone,Pass,Incomplete,0.0,,,Mark Rodriguez,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,1215,0,13,-13,3,3,3,,,,,,,
29,Lewis & Clark,,WHT,1,,,,4.0,25.0,47.0,Go Zone,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whittier,,,,,,,05:15,1215,0,13,-13,3,3,3,,,,,,,
30,Lewis & Clark,O,WHT,1,,2.0,7.0,4.0,25.0,47.0,Go Zone,Pass,Incomplete,0.0,,,Mark Rodriguez,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,04:20,1160,0,13,-13,2,2,3,,,,,,,
31,Lewis & Clark,D,L&C,1,,3.0,1.0,0.0,10.0,47.0,Go Zone,Pass,Interception,0.0,,,Cruz Montana,,,Interception,,,Aaron Martinez,,Cruz Montana,,,,,,,Aaron Martinez,0,36.0,,,,,,,,,,,,,,,,,,,,,,Interception,03:37,1117,13,0,-13,2,3,2,,,,,,,
32,Lewis & Clark,O,WHT,1,,3.0,1.0,0.0,10.0,36.0,Go Zone,Run,Rush,10.0,Juan Estrada,,,,,,,,,,Clash Orsborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:37,1117,0,13,-13,2,2,3,,,,,,,
33,Lewis & Clark,O,WHT,1,,3.0,2.0,1.0,10.0,26.0,Take A Shot,Pass,Sack,-4.0,,,Mark Rodriguez,,,Sack,,,,,Isaac Cordova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:37,1117,0,13,-13,2,2,3,,,,,,,
34,Lewis & Clark,O,WHT,1,,3.0,3.0,2.0,14.0,30.0,Take A Shot,Run,Rush,2.0,Sha'Cobe Marzet,,,,,,,,,,Desmon Holton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:37,1117,0,13,-13,2,2,3,,,,,,,
35,Lewis & Clark,O,WHT,1,,3.0,4.0,3.0,12.0,28.0,Take A Shot,Run,Rush,6.0,Mark Rodriguez,,,,,,,,,,Isaac Cordova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:37,1117,0,13,-13,2,2,3,,,,,,,
36,Lewis & Clark,O,WHT,1,,3.0,5.0,4.0,6.0,22.0,Take A Shot,Pass,Complete,12.0,,,Mark Rodriguez,,,Complete,Tyson Tapley,,,,Sammy Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:37,1117,0,13,-13,2,2,3,,,,,,,
37,Lewis & Clark,O,WHT,1,,3.0,6.0,1.0,10.0,10.0,Red Zone,Run,Rush,2.0,Jason Terry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:37,1117,0,13,-13,2,2,3,,,,,,,
38,Lewis & Clark,O,WHT,2,,3.0,7.0,2.0,8.0,8.0,Red Zone,Run,Rush,2.0,Mark Rodriguez,,,,,,,,,,Jordan Fajardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,13,-13,2,2,3,,,,,,,
39,Lewis & Clark,O,WHT,2,,3.0,8.0,3.0,6.0,6.0,Red Zone,Run,Rush,3.0,Jason Terry,,,,,,,,,,Silas Ticeson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,13,-13,2,2,3,,,,,,,
40,Lewis & Clark,O,WHT,2,,3.0,9.0,4.0,3.0,3.0,Red Zone Low,Pass,Incomplete,0.0,,,Mark Rodriguez,,,Incomplete,Sean Aldana,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,15:00,900,0,13,-13,2,2,3,,,,,,,
41,Lewis & Clark,D,L&C,2,,4.0,1.0,0.0,10.0,3.0,Red Zone Low,Run,Rush,0.0,Dyontae Navarre,,,,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,885,13,0,-13,2,3,2,,,,,,,
42,Lewis & Clark,D,L&C,2,,4.0,2.0,2.0,10.0,3.0,Red Zone Low,Pass,Incomplete,0.0,,,Cruz Montana,,,Incomplete,Elijah McGee,,,,Andres Ruvalcab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,885,13,0,-13,2,3,2,,,,,,,
43,Lewis & Clark,D,L&C,2,,4.0,3.0,3.0,10.0,3.0,Red Zone Low,Pass,Complete,4.0,,,Cruz Montana,,,Complete,Devon Guest,,,,Aaron Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:45,885,13,0,-13,2,3,2,,,,,,,
44,Lewis & Clark,K,L&C,2,,,,4.0,6.0,7.0,Red Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Koga,45.0,48.0,Fair Catch,,,,,,,,,,,,,,14:45,885,13,0,-13,2,3,2,,,,,,,
45,Lewis & Clark,O,WHT,2,,4.0,1.0,0.0,10.0,-48.0,Go Zone,Pass,Complete,5.0,,,Mark Rodriguez,,,Complete,Jalen Jolley,,,,Isaac Cordova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:22,862,0,13,-13,2,2,3,,,,,,,
46,Lewis & Clark,O,WHT,2,,4.0,2.0,2.0,5.0,47.0,Go Zone,Run,Rush,4.0,Jason Terry,,,,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:22,862,0,13,-13,2,2,3,,,,,,,
47,Lewis & Clark,O,WHT,2,,4.0,3.0,3.0,1.0,43.0,Go Zone,Pass,Complete,43.0,,,Jason Terry,,,Complete,Jalen Jolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:22,862,0,13,-13,2,2,3,,,,,,,
48,Lewis & Clark,K,WHT,2,,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will Triggs,,,Good,,,,,,,,,13:15,795,6,13,-7,2,2,3,,,,,,,
49,Lewis & Clark,K,WHT,2,,,,,,,,KO,Return,,,,,,,,,,,,Will Triggs,,,,,,,Elijah Washingt,20,43.0,Will Triggs,42.0,23.0,Return,,,,,,,,,,,,,,,,,,,13:15,795,7,13,-6,2,2,3,,,,,,,
50,Lewis & Clark,D,L&C,2,,5.0,1.0,0.0,10.0,43.0,Go Zone,Pass,Complete,14.0,,,Cruz Montana,,,Complete,Dyontae Navarre,,,,DJ Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,780,13,7,-6,2,3,2,,,,,,,
51,Lewis & Clark,D,L&C,2,,5.0,2.0,1.0,10.0,43.0,Go Zone,Pass,Interception,0.0,,,Cruz Montana,,,Interception,,,Sha'Cobe Marzet,,,,,,,,,Zackery Duhala,10,45.0,,,,,,,,,,,,,,,,,,,,,,Interception,13:00,780,13,7,-6,2,3,2,,,,,,,
52,Lewis & Clark,O,WHT,2,,5.0,1.0,0.0,10.0,45.0,Go Zone,Run,Rush,-3.0,Jason Terry,,,,,,,,,,,,True,Jason Terry,,WHT,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,765,7,13,-6,2,2,3,,,,,,,
53,Lewis & Clark,O,WHT,2,,5.0,2.0,2.0,13.0,48.0,Go Zone,Pass,Sack,-11.0,,,Mark Rodriguez,,,Sack,,,,,Sam Meinhard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,765,7,13,-6,2,2,3,,,,,,,
54,Lewis & Clark,O,WHT,2,,5.0,3.0,3.0,24.0,-41.0,Gold Zone,Run,Rush,9.0,Mark Rodriguez,,,,,,,,,,Sam Meinhard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:45,765,7,13,-6,2,2,3,,,,,,,
55,Lewis & Clark,K,WHT,2,,,,4.0,15.0,-50.0,Go Zone,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Sean Aldana,34.0,16.0,Fair Catch,,,,,,,,,,,,,,12:45,765,7,13,-6,2,2,3,,,,,,,
56,Lewis & Clark,D,L&C,2,,6.0,1.0,0.0,10.0,16.0,Red Zone High,Run,Rush,84.0,Dyontae Navarre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,11:17,677,13,7,-6,2,3,2,,,,,,,
57,Lewis & Clark,K,L&C,2,,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Koga,,,Good,,,,,,,,,10:53,653,19,7,-12,2,3,2,,,,,,,
58,Lewis & Clark,K,L&C,2,,,,,,,,KO Rec,Return,,,,,,,,,,,,TEAM,,,,,,,Jalen Jolley,,28.0,Alex Koga,0.0,35.0,Return,,,,,,,,,,,,,,,,,,,10:53,653,20,7,-13,2,3,2,,,,,,,
59,Lewis & Clark,O,WHT,2,,6.0,1.0,0.0,10.0,-28.0,Gold Zone,Run,Rush,9.0,Juan Estrada,,,,,,,,,,Sammy Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:22,622,7,20,-13,2,2,3,,,,,,,
60,Lewis & Clark,O,WHT,2,,6.0,2.0,2.0,1.0,-37.0,Gold Zone,Pass,Incomplete,0.0,,,Mark Rodriguez,,,Incomplete,Sean Aldana,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:22,622,7,20,-13,2,2,3,,,,,,,
61,Lewis & Clark,O,WHT,2,,6.0,3.0,3.0,1.0,-37.0,Gold Zone,Run,Rush,3.0,Juan Estrada,,,,,,,,,,Jack Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:22,622,7,20,-13,2,2,3,,,,,,,
62,Lewis & Clark,O,WHT,2,,6.0,4.0,1.0,10.0,-40.0,Gold Zone,Pass,Complete,3.0,,,Mark Rodriguez,,,Complete,Jalen Jolley,,,,Isaac Cordova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:22,622,7,20,-13,2,2,3,,,,,,,
63,Lewis & Clark,O,WHT,2,,6.0,5.0,2.0,7.0,-43.0,Gold Zone,Run,Rush,4.0,Juan Estrada,,,,,,,,,,Jake Bushman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:22,622,7,20,-13,2,2,3,,,,,,,
64,Lewis & Clark,O,WHT,2,,6.0,6.0,3.0,3.0,-47.0,Go Zone,Pass,Sack,-13.0,,,Mark Rodriguez,,,Sack,,,,,Jordan Fajardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:22,622,7,20,-13,2,2,3,,,,,,,
65,Lewis & Clark,O,WHT,2,,6.0,7.0,4.0,16.0,-34.0,Gold Zone,Run,Rush,20.0,Michael Moreno,,,,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00,600,7,20,-13,2,2,3,,,,,,,
66,Lewis & Clark,O,WHT,2,,6.0,8.0,1.0,10.0,46.0,Go Zone,Pass,Complete,8.0,,,Jonah Barraza,,,Complete,Samson Olajide,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00,600,7,20,-13,2,2,3,,,,,,,
67,Lewis & Clark,O,WHT,2,,6.0,9.0,2.0,18.0,-46.0,Go Zone,Pass,Complete,0.0,,,Jonah Barraza,,,Complete,Jonathan Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00,600,7,20,-13,2,2,3,,,,,,,
68,Lewis & Clark,O,WHT,2,,6.0,10.0,3.0,18.0,-46.0,Go Zone,Run,Rush,-14.0,Nick Hidalgo,,,,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00,600,7,20,-13,2,2,3,,,,,,,
69,Lewis & Clark,O,WHT,2,,6.0,11.0,4.0,32.0,-32.0,Gold Zone,Pass,Incomplete,0.0,,,Jonah Barraza,,,Incomplete,Kash Amos,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,10:00,600,7,20,-13,2,2,3,,,,,,,
70,Lewis & Clark,D,L&C,2,,7.0,1.0,0.0,10.0,32.0,Take A Shot,Pass,Complete,29.0,,,Cruz Montana,,,Complete,Ben Burnham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00,600,20,7,-13,2,3,2,,,,,,,
71,Lewis & Clark,D,L&C,2,,7.0,2.0,1.0,3.0,3.0,Red Zone Low,Run,Rush,3.0,Dyontae Navarre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,10:00,600,20,7,-13,2,3,2,,,,,,,
72,Lewis & Clark,K,L&C,2,,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Koga,,,Good,,,,,,,,,10:10,610,26,7,-19,2,3,2,,,,,,,
73,Lewis & Clark,K,L&C,2,,,,,,,,KO Rec,Return,,,,,,,,,,,,,,,,,,,Andres Ruvalcab,0,9.0,Alex Koga,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,10:10,610,27,7,-20,2,3,2,,,,,,,
74,Lewis & Clark,O,WHT,2,,7.0,1.0,0.0,10.0,-9.0,Backed Up,Run,Rush,-1.0,Jason Terry,,,,,,,,,,Luke Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:30,570,7,27,-20,2,2,3,,,,,,,
75,Lewis & Clark,O,WHT,2,,7.0,2.0,2.0,11.0,-8.0,Backed Up,Run,Rush,4.0,Jason Terry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:30,570,7,27,-20,2,2,3,,,,,,,
76,Lewis & Clark,O,WHT,2,,7.0,3.0,3.0,7.0,-12.0,Coming Out,Run,Rush,2.0,Jason Terry,,,,,,,,,,Russell Nozoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:30,570,7,27,-20,2,2,3,,,,,,,
77,Lewis & Clark,,WHT,2,,,,4.0,5.0,-14.0,Coming Out,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lewis & Clark,,,,,,,09:30,570,7,27,-20,2,2,3,,,,,,,
78,Lewis & Clark,,WHT,2,,,,4.0,5.0,-14.0,Coming Out,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:11,191,7,27,-20,2,2,2,,,,,,,5.0
79,Lewis & Clark,O,WHT,2,,7.0,4.0,1.0,10.0,-19.0,Coming Out,Run,Rush,5.0,Jason Terry,,,,,,,,,,Russell Nozoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:11,191,7,27,-20,2,2,2,,,,,,,
80,Lewis & Clark,K,WHT,2,,,,,,,,KO,Return,,,,,,,,,,,,TEAM,,,,,,,Andres Ruvalcab,6,-24.0,Alex Koga,6.0,-18.0,Return,,,,,,,,,,,,,,,,,,,00:00,0,7,27,-20,2,2,2,,,,,,,
81,Lewis & Clark,K,L&C,3,,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_kick,15:00,1800,27,7,-20,3,3,3,,,,,,,
82,Lewis & Clark,D,L&C,3,,8.0,1.0,0.0,10.0,32.0,Take A Shot,Run,Rush,0.0,Dyontae Navarre,,,,,,,,,,Aaron Martinez,Noah Gargano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,27,7,-20,3,3,3,,,,,,,
83,Lewis & Clark,D,L&C,3,,8.0,2.0,2.0,10.0,32.0,Take A Shot,Run,Rush,3.0,Dyontae Navarre,,,,,,,,,,Nicholas Hanama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,27,7,-20,3,3,3,,,,,,,
84,Lewis & Clark,D,L&C,3,,8.0,3.0,3.0,7.0,35.0,Take A Shot,Pass,Complete,11.0,,,Cruz Montana,,,Complete,Devon Guest,,,,Mark Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,27,7,-20,3,3,3,,,,,,,
85,Lewis & Clark,D,L&C,3,,8.0,4.0,1.0,10.0,46.0,Go Zone,Run,Rush,13.0,Elijah Washingt,,,,,,,,,,DJ Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,27,7,-20,3,3,3,,,,,,,
86,Lewis & Clark,,L&C,3,,,,1.0,10.0,41.0,Go Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,27,7,-20,3,3,3,,,,,,,5.0
87,Lewis & Clark,D,L&C,3,,8.0,5.0,1.0,15.0,46.0,Go Zone,Pass,Incomplete,0.0,,,Cruz Montana,,,Incomplete,Adrian Daffy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,27,7,-20,3,3,3,,,,,,,
88,Lewis & Clark,D,L&C,3,,8.0,6.0,2.0,15.0,46.0,Go Zone,Pass,Complete,10.0,,,Cruz Montana,,,Complete,Dyontae Navarre,,,,DJ Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,27,7,-20,3,3,3,,,,,,,
89,Lewis & Clark,D,L&C,3,,8.0,7.0,3.0,5.0,36.0,Go Zone,Pass,Complete,8.0,,,Cruz Montana,,,Complete,Jojo Powell,,,,Aaron Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,27,7,-20,3,3,3,,,,,,,
90,Lewis & Clark,D,L&C,3,,8.0,8.0,1.0,10.0,28.0,Take A Shot,Pass,Complete,2.0,,,Cruz Montana,,,Complete,Elijah Washingt,,,,Tyler Cochrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,27,7,-20,3,3,3,,,,,,,
